abstract,sentence,label,,,,
6182140,The addition of chlortetracycline (CTC) to succinate-energized rat liver mitochondria resulted in depolarization of the membrane potential and decreased respiratory control.,,,,,
6182140,"CTC inhibited both processes at concentrations that were half maximally effective at approximately 13 and 16 microM, respectively.",,,,,
6182140,"These inhibitory effects were prevented by either the Ca2+ chelator, ethylene glycol bis(beta-aminoethyl ether)-N,N,N',N'-tetraacetic acid, or the inhibitor of mitochondrial Ca2+ influx, ruthenium red.",,,,,
6182140,These findings are consistent with the formation of a membrane associated calcium-CTC complex and suggest that CTC can alter mitochondrial energy metabolism during transmembrane Ca2+ cycling.,,,,,
9249150,"The partitioning of the overall molecular charge distribution into atom centered monopole charges, while quantum mechanically ill-defined, is nevertheless a technique which finds applications in several broad classes of chemical problems.",,,,,
9249150,"Charges derived from fits to electrostatic potentials have an intuitive appeal since, in principle, these could be derived from either theoretical or experimental data.",,,,,
9249150,"It has been noted, however, that such potential derived charges can be conformationally dependent in ways that do not appear to reflect the changes in the molecular wavefunction.",,,,,
9249150,Both the algorithm used for selecting points at which the molecular electrostatic potential will be fit and the density of points used in the fit have been suggested to influence the resultant charges.,,,,,
9249150,"Recently [Stouch TR, Williams DE (1992) J Comp Chem 13: 622-32; Stouch TR, Williams DE (1993) J Comp Chem 14: 858-66] it has been noted that numerical difficulties may make it impossible to fit all the atomic charges in a molecule.",,,,,
9249150,Singular value decomposition (SVD) of the linear least squares matrices used in fitting atom based monopoles to molecular electrostatic potentials provides a tool for evaluating the integrity of the calculated charges.,,,,,
9249150,Based on the SVD analysis for a selected group of molecules we have noted particularly that increasing the molecular size reduces the fraction of charges which can be validly assigned.,,,,,
9249150,"Users of PD derived charges, especially those who are using those charges for tasks other than reproduction of the MEP, should be aware that there is a high probability that a significant portion of those charges are statistically unreliable.",,,,,
9249150,"Therefore, charges in many biological molecules, such as sugars, prove to be difficult to obtain by potential derived (PD) methods such as CHELP or CHELPG.",,,,,
9249150,"Results from the SVD can be used to both assess PD charges and to generate an improved, albeit incomplete, set.",,,,,
9249150,Improved PD fits are presented for a series of simple saccharides.,,,,,
23148905,"Parsimony and protein grouping are widely employed to enforce economy in the number of identified proteins, with the goal of increasing the quality and reliability of protein identifications; however, in a counterintuitive manner, parsimony and protein grouping may actually decrease the reproducibility and interpretability of protein identifications.",,,,,
23148905,We present a simple illustration demonstrating ways in which parsimony and protein grouping may lower the reproducibility or interpretability of results.,,,,,
23148905,We then provide an example of a data set where a probabilistic method increases the reproducibility and interpretability of identifications made on replicate analyses of Human Du145 prostate cancer cell lines.,,,,,
19723622,Ischemic injury of the heart is associated with activation of multiple signal transduction systems including the heterotrimeric G-protein system.,,,,,
19723622,"Here, we report a role of the ischemia-inducible regulator of G betagamma subunit, AGS8, in survival of cardiomyocytes under hypoxia.",,,,,
19723622,Cultured rat neonatal cardiomyocytes (NCM) were exposed to hypoxia or hypoxia/reoxygenation following transfection of AGS8siRNA or pcDNA::AGS8.,,,,,
19723622,"Hypoxia-induced apoptosis of NCM was completely blocked by AGS8siRNA, whereas overexpression of AGS8 increased apoptosis.",,,,,
19723622,"AGS8 formed complexes with G-proteins and channel protein connexin 43 (CX43), which regulates the permeability of small molecules under hypoxic stress.",,,,,
19723622,AGS8 initiated CX43 phosphorylation in a G betagamma-dependent manner by providing a scaffold composed of G betagamma and CX43.,,,,,
19723622,AGS8siRNA blocked internalization of CX43 following exposure of NCM to repetitive hypoxia, however it did not influence epidermal growth factor-mediated internalization of CX43.,,,,
19723622,The decreased dye flux through CX43 that occurred with hypoxic stress was also prevented by AGS8siRNA.,,,,,
19723622,"Interestingly, the G betagamma inhibitor Gallein mimicked the effect of AGS8 knockdown on both the CX43 internalization and the changes in cell permeability elicited by hypoxic stress.",,,,,
19723622,"These data indicate that AGS8 is required for hypoxia-induced apoptosis of NCM, and that AGS8-G betagamma signal input increased the sensitivity of cells to hypoxic stress by influencing CX43 regulation and associated cell permeability.",,,,,
19723622,"Under hypoxic stress, this unrecognized response program plays a critical role in the fate of NCM.",,,,,
12499401,"Alpha(1,3)Galactosyltransferase (GT) is a Golgi-localized enzyme that catalyzes the transfer of a terminal galactose to N-acetyllactosamine to create Galalpha(1,3)Gal.",,,,,
12499401,"This glycosyltransferase has been studied extensively because the Galalpha(1,3)Gal epitope is involved in hyperacute rejection of pig-to-human xenotransplants.",,,,,
12499401,"The original crystal structure of bovine GT defines the amino acids forming the catalytic pocket; however, those directly involved in the interaction with the donor nucleotide sugars were not characterized.",,,,,
12499401,"Comparison of amino acid sequences of GT from several species with the human A and B transferases suggest that His271 of pig GT may be critical for recognition of the donor substrate, UDP-Gal.",,,,,
12499401,"Using pig GT as the representative member of the GT family, we show that replacement of His271 with Ala, Leu, or Gly caused complete loss of function, in contrast to replacement with Arg, another basic charged residue, which did not alter the ability of GT to produce Galalpha(1,3)Gal.",,,,,
12499401,"Molecular modeling showed that His271 may interact directly with the Gal moiety of UDP-Gal, an interaction possibly retained by replacing His with Arg.",,,,,
12499401,"However, replacing His271 with amino acids found in alpha(1,3)GalNAc transferases did not change the donor nucleotide specificity.",,,,,
12499401,Thus His271 is critical for enzymatic function of pig GT.,,,,,
10406843,"In plants as well as in animals beta1, 2N-acetylglucosaminyltransferase I (GlcNAc-TI) is a Golgi resident enzyme that catalyzes an essential step in the biosynthetic pathway leading from oligomannosidic N-glycans to complex or hybrid type N-linked oligosaccharides.",,,,,
10406843,"Employing degenerated primers deduced from known GlcNAc-TI genes from animals, we were able to identify the cDNA coding for GlcNAc-TI from a Nicotiana tabacum cDNA library.",,,,,
10406843,The complete nucleotide sequence revealed a 1338 base pair open reading frame that codes for a polypeptide of 446 amino acids.,,,,,
10406843,"Comparison of the deduced amino acid sequence with that of already known GlcNAc-TI polypeptides revealed no similarity of the tobacco clone within the putative cytoplasmatic, transmembrane, and stem regions.",,,,,
10406843,"However, 40% sequence similarity was found within the putative C-terminal catalytic domain containing conserved single amino acids and peptide motifs.",,,,,
10406843,The predicted domain structure of the tobacco polypeptide is typical for type II transmembrane proteins and comparable to known GlcNAc-TI from animal species.,,,,,
10406843,In order to confirm enzyme activity a truncated form of the protein containing the putative catalytic domain was expressed using a baculovirus/insect cell system.,,,,,
10406843,Using pyridylaminated Man(5)- or Man(3)GlcNAc(2)as acceptor substrates and HPLC analysis of the products GlcNAc-TI activity was shown.,,,,,
10406843,This demonstrates that the C-terminal region of the protein comprises the catalytic domain.,,,,,
10406843,Expression of GlcNAc-TI mRNA in tobacco leaves was detected using RT-PCR.,,,,,
10406843,Southern blot analysis gave two hybridization signals of the gene in the amphidiploid genomes of the two investigated species N. tabacum and N.benthamiana.,,,,,
12826670,"According to alternative hypotheses, mitochondrial uncoupling protein 1 (UCP1) is either a proton channel (""buffering model"") or a fatty acid anion carrier (""fatty acid cycling"").",,,,,
12826670,Transport across the proton channel along a chain of hydrogen bonds (Grotthus mechanism) may include fatty acid carboxyl groups or occur in the absence of fatty acids.,,,,,
12826670,"In this work, we demonstrate that planar bilayers reconstituted with UCP1 exhibit an increase in membrane conductivity exclusively in the presence of fatty acids.",,,,,
12826670,"Hence, we can exclude the hypothesis considering a preexisting H+ channel in UCP1, which does not require fatty acid for function.",,,,,
12826670,The augmented conductivity is nearly completely blocked by ATP.,,,,,
12826670,"Direct application of transmembrane voltage and precise current measurements allowed determination of ATP-sensitive conductances at 0 and 150 mV as 11.5 and 54.3 pS, respectively, by reconstituting nearly 3 x 10(5) copies of UCP1.",,,,,
12826670,The proton conductivity measurements carried out in presence of a pH gradient (0.4 units) allowed estimation of proton turnover numbers per UCP1 molecule.,,,,,
12826670,The observed transport rate of 14 s-1 is compatible both with carrier and channel nature of UCP1.,,,,,
9822674,The signaling routes connecting G protein-coupled receptors to the mitogen-activated protein kinase (MAPK) pathway reveal a high degree of complexity and cell specificity.,,,,,
9822674,"In the human colon carcinoma cell line SW-480, we detected a mitogenic effect of bradykinin (BK) that is mediated via a pertussis toxin-insensitive G protein of the Gq/11 family and that involves activation of MAPK.",,,,,
9822674,"Both BK-induced stimulation of DNA synthesis and activation of MAPK in response to BK were abolished by two different inhibitors of phosphatidylinositol 3-kinase (PI3K), wortmannin and LY 294002, as well as by two different inhibitors of protein kinase C (PKC), bisindolylmaleimide and Ro 31-8220.",,,,,
9822674,"Stimulation of SW-480 cells by BK led to increased formation of PI3K lipid products (phosphatidylinositol 3,4,5-trisphosphate and phosphatidylinositol 3, 4-bisphosphate) and to enhanced translocation of the PKCepsilon isoform from the cytosol to the membrane.",,,,,
9822674,"Both effects of BK were inhibited by wortmannin, too.",,,,,
9822674,"Using subtype-specific antibodies, only the PI3K subunits p110beta and p85, but not p110alpha and p110gamma, were detected in SW-480 cells.",,,,,
9822674,"Finally, p110beta was found to be co-immunoprecipitated with PKCepsilon.",,,,,
9822674,"Our data suggest that in SW-480 cells, (i) dimeric PI3Kbeta is activated via a Gq/11 protein; (ii) PKCepsilon is a downstream target of PI3Kbeta mediating the mitogenic signal to the MAPK pathway; and (iii) PKCepsilon associates with the p110 subunit of PI3Kbeta.",,,,,
9822674,"Thus, these results add a novel possibility to the emerging picture of multiple pathways linking G protein-coupled receptors to MAPK.",,,,,
12881409,"The members of the galectin family are associated with diverse cellular events, including immune response.",,,,,
12881409,We investigated the effects of galectin-8 on neutrophil function.,,,,,
